id,question,source_category,source_document,reference_answer
20,What are the four pillars of Infosys' long-term corporate strategy?,NSE >10,Infosys_01072025210240_Form20F_July012025_1__1_/group_008.md,
21,How does Infosys define its AI-first strategy and Responsible AI framework?,NSE >10,Infosys_01072025210240_Form20F_July012025_1__1_/group_008.md,
22,What consulting and digital transformation capabilities does Infosys consider its key strengths?,NSE >10,Infosys_01072025210240_Form20F_July012025_1__1_/group_008.md,
23,What is Infosys' capital allocation policy beginning FY2025?,NSE >10,INFY_15062026210015_Form20F_June152026/group_021.md,
24,What were the key details of Infosys' 2025 share buyback?,NSE >10,INFY_15062026210015_Form20F_June152026/group_021.md,
25,Where are Infosys equity shares and ADRs listed?,NSE >10,INFY_15062026210015_Form20F_June152026/group_021.md,
26,"How many employees did Infosys have at the end of FY2026, and what does the workforce composition look like?",NSE >10,Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_028.md,
27,What percentage of Infosys' revenue comes from exports?,NSE >10,Infosys_29052026201312_Infosys_Integrated_Annual_Report_2025-26/group_028.md,
28,What employee turnover trends has Infosys reported over the past three years?,NSE >10,Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_028.md,
29,What grievance redressal and employee well-being mechanisms does Infosys provide?,NSE >10,Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_017.md,
30,What learning and upskilling programs does Infosys offer its employees?,NSE >10,Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_017.md,
31,What innovations and technologies are included under Infosys Topaz Fabric?,NSE >10,Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_017.md,
32,What acquisitions and strategic investments did Infosys complete during FY2026?,NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_007.md,
33,"How is the Infosys Board structured, and what committees oversee corporate governance?",NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_007.md,
34,What are the main responsibilities of Infosys' ESG Committee?,NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_020.md,
35,How much did Infosys spend on CSR activities during FY2026?,NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_020.md,
36,What environmental sustainability initiatives did Infosys undertake during FY2026?,NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_035.md,
37,How did Infosys perform in reducing greenhouse gas emissions and improving energy efficiency?,NSE >10,INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_035.md,
38,Did Infosys disclose any significant tax disputes or legal proceedings during FY2026?,NSE >10,INFY_30052026201240_SE_Integrated_Annual_Report_2025-26/group_054.md,
39,"What major acquisitions did Infosys announce during FY2026, and how were they structured?",NSE >10,Infosys_23042026170027_outcome/group_016.md,
40,How did revenue and profit evolve during the first nine months of FY2026?,NSE >10,Infosys_14012026160405_BM_Outcome_January142026/group_033.md,
41,"What were the key financial highlights of Infosys' Q1 FY26 results, including revenue growth and operating margin?",IR,FY26-Q1-ifrs-inr-press-release.md,
42,What revenue growth and operating margin guidance has Infosys provided for FY26?,IR,FY26-Q1-ifrs-inr-press-release.md,
43,"What were the biggest large-deal wins in Q1 FY26, and what was their total contract value (TCV)?",IR,FY26-Q1-earningscall.md,
44,Why does Infosys expect the second half of FY26 to be weaker than the first half?,IR,FY26-Q1-earningscall.md,
45,"How is Infosys using Enterprise AI and AI agents across different industries, according to management?",IR,FY26-Q1-earningscall.md,
46,"What is ICICI Direct's investment rating and target price for Infosys, and what is the rationale behind it?",Trendlyne,idirect_infosys_q4fy26.md,
47,"What are Infosys' FY27 and FY28 revenue, earnings, and margin projections according to ICICI Direct?",Trendlyne,idirect_infosys_q4fy26.md,
48,Which business segments and geographies were the key growth drivers for Infosys in Q4 FY26?,Trendlyne,Info-RR-24042026-24-April-2026-1656297533.md,
49,What are the key risks identified by analysts that could affect Infosys' future performance?,Trendlyne,idirect_infosys_q4fy26.md,
50,"According to Goldman Sachs, why could the current AI-driven earnings boom become harder to sustain?",Yahoo Finance,Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md,
