id,question,source_category,source_document,reference_answer
11,What is the scale and nature of the large National Health Service deal Infosys won in Q3 FY26?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-press-conference/group_001.md,"Infosys won a $1.6 billion contract with the U.K. National Health Service in Q3 FY26. The deal expands Infosys' healthcare work, including the use of AI to streamline operations and improve patient care for U.K. citizens."
12,What are the full-year FY27 revenue growth and operating margin guidance ranges that Infosys management communicated at the Q4 FY26 earnings call?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_001.md,"- Revenue growth: 1.5%-3.5% year-on-year in constant-currency terms.
- Operating margin: 20%-22%."
13,Why is Infosys passing AI-driven productivity gains through to clients rather than converting them into margin expansion?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md,Productivity benefits are largely passed back to clients because the market is competitive and competitive intensity has increased.
14,"How are Infosys's financial-services clients deploying AI agents across workflows such as KYC, AML, credit underwriting, and legacy modernization?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_003.md,"Financial-services clients are adopting AI agents for various workflows, including KYC and AML processes, which are generating additional revenue for Infosys. They are also using AI in credit-related work and for developing new capabilities, as well as employing foundation models for legacy modernization. Despite some productivity-related compression due to AI, Infosys is experiencing accelerating growth in financial services. AI-related compression is occurring in services where foundation models and related tools are highly efficient, including some technology-services and BPM work, but this is being offset by growth in other services."
15,What third-party rankings and industry recognitions has Infosys received for its AI and cloud service capabilities as listed in the Q2 FY26 press release?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_002.md,"- Infosys was positioned as a leader in Gartner's Magic Quadrant and Critical Capabilities for Public Cloud IT Transformation Services.
- Infosys was positioned as a leader in Gartner's Emerging Market Quadrant for Generative AI Consulting and Implementation Services.
- Infosys was recognized as a leader in IDC MarketScape: Asia Pacific Oracle Implementation Services 2025 Vendor Assessment.
- Infosys was recognized as a leader in IDC MarketScape: Worldwide Artificial Intelligence Services 2025.
- Infosys was recognized as a leader in IDC MarketScape: Worldwide Life Science R&D AI and GenAI in Clinical Trials 2025.
- Infosys was recognized as a leader in Constellation ShortList: Artificial Intelligence and Machine Learning Best-of-Breed Platforms.
- Infosys was recognized as a leader in Constellation ShortList: AI-Driven Cognitive Applications.
- Infosys EdgeVerve was recognized as the Company of the Year with Silver Stevie® Awards in two categories: Artificial Technology for the Infosys EdgeVerve AI Next platform and Business Technology for enterprise transformation."
16,How did Infosys's full-year FY26 revenues and constant-currency growth rate compare with the guidance range set at the start of the year?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md,"Infosys delivered FY26 revenues of $20,158 million, representing 3.1% growth in constant currency. The guidance for FY27 was a revenue growth of 1.5%-3.5% in constant currency, indicating that FY26's growth rate of 3.1% was within the guidance range set at the start of the year."
17,"What was the aggregate buyback size and price per share approved by the Infosys Board in September 2025, and how many shares were proposed for repurchase?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md,"The aggregate buyback size approved by the Infosys Board in September 2025 was ₹18,000 crore at a price of ₹1,800 per equity share, with a proposal to repurchase up to 10,00,00,000 shares."
18,What settlement amount has Infosys McCamish Systems agreed to pay to resolve the class action lawsuits arising from the cyber incident?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md,McCamish has agreed to pay $17.5 million into a fund to settle the class action lawsuits.
19,What new capabilities and venue naming rights are covered under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md,"Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies includes the renaming of the Theater at Madison Square Garden to the Infosys Theater at Madison Square Garden. It also features two premier branded locations: the Infosys Theater and the Infosys Suite Level on the ninth floor of The Garden, with brand integration across 18 suites. Additionally, Infosys will enhance fan engagement for the New York Knicks and New York Rangers, leveraging Infosys Topaz for fan-facing innovations."
20,"How is Infosys deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens bank, and what banking capabilities does the hub target?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"Infosys is deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens Bank to accelerate Citizens' AI platform and next-generation banking capabilities. The hub targets AI-driven transformation across Citizens' banking operations, product development, and customer experience, aiming to simplify and increase the speed of delivery of new financial products and digital services."
21,What banking processes and AI use cases is the Infosys-Citizens Innovation Hub designed to enable for the bank's operations?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"The Infosys-Citizens Innovation Hub is designed to accelerate AI-driven transformation across Citizens' banking operations, product development, and customer experience. It aims to support the development of scalable, agent-ready capabilities to simplify and increase the speed of delivery of new financial products and digital services, integrating artificial intelligence and advanced technologies throughout the bank's technology ecosystem."
22,What is the strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md,"The strategic rationale behind Infosys and Intel deepening their partnership is to help enterprises scale AI deployments from pilots to production at scale. The collaboration combines Intel's high-performance, energy-efficient compute platforms with Infosys Topaz Fabric, aiming to advance open standards and accelerate secure, cost-efficient enterprise AI deployments. This partnership focuses on optimizing performance, delivering measurable outcomes, and supporting mission-critical use cases across industries, enabling organizations to institutionalize AI securely and reliably."
23,"What operational improvements does Infosys's AI Agent bring to energy sector clients, and which Infosys and Microsoft technologies power it?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md,"Infosys's AI Agent brings operational improvements to energy sector clients by automating reports, boosting operational efficiency, enhancing decision-making through actionable recommendations, providing predictive insights, and offering early warnings to anticipate real-time operational challenges. It is powered by Infosys Topaz, Infosys Cobalt, and Microsoft's AI and cloud capabilities, including Microsoft Copilot Studio, Azure OpenAI in Foundry Models, and ChatGPT4o."
24,What business and performance benefits is Bank CTBC Indonesia gaining from Infosys Finacle's digital banking suite deployed on cloud?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md,"Bank CTBC Indonesia is gaining several business and performance benefits from the deployment of Infosys Finacle's digital banking suite on cloud, including:

- Effortless scalability to meet growing business demands and faster delivery of innovations, resulting in shorter time-to-market for new products and services.
- Improved operational efficiency and enhanced customer experience.
- Accelerated new feature releases and rapid innovation while maintaining robust security.
- A unified, 360-degree view of customer data through the Finacle Customer Data Hub, enabling hyper-personalization of services and seamless third-party integration.
- Transformative performance gains, including over 300% reduction in bulk processing time, which significantly enhances operational efficiency and reduces total cost of ownership (TCO)."
25,"How does Infosys Topaz integrate with Salesforce's agentic AI capabilities in the new Customer Experience Suite, and what customer processes does it automate?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md,"Infosys Topaz integrates with Salesforce's agentic AI capabilities to help enterprises navigate their agentic transformation and scale their digital workforce. It automates customer interaction processes such as service inquiries, sales tasks, and employee support, enhancing personalization and delivering tailored, context-aware experiences. The solutions streamline workflows, boost efficiency, and support immediate decision-making in sales, services, and marketing channels."
26,"What lending workflows has Infosys modernized for ABN AMRO using the nCino platform, and how many legacy records were migrated?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"Infosys has modernized ABN AMRO's loan origination and collateral management workflows using the nCino platform and migrated over 100,000 records from multiple legacy systems."
27,What operational and client-service improvements has ABN AMRO achieved through its Infosys-led nCino lending platform implementation?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"ABN AMRO has achieved operational and client-service improvements through the nCino lending platform implementation by consolidating multiple legacy systems into a single platform, enhancing customer onboarding and loan origination processes, improving operational efficiency, and ensuring regulatory compliance. The platform also mitigates data quality issues and provides a faster, more transparent experience for customers. Additionally, it has optimized processes, improved data quality, and reduced turnaround time."
28,"What is the scope and duration of Infosys's strategic alliance with HanesBrands, and which Infosys platforms are being deployed to transform its IT landscape?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md,"Infosys's strategic alliance with HanesBrands has a scope of ten years, covering digital, business applications, and data transformation. The platforms being deployed to transform its IT landscape include the Live Enterprise Automation Platform (LEAP), integrated within Infosys Topaz, which utilizes AI-first technologies to support modernization, automation, AIOps, and operational efficiency."
29,For how many consecutive years has Infosys maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md,three consecutive years
30,"What is the strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology, and how will Infosys Topaz and Cobalt support the initiative?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md,"The strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology is to develop and deploy ExxonMobil Data Center Immersion Fluids to enhance energy efficiency and maximize the use of available power for AI and high-performance computing infrastructure. Infosys Topaz will support the initiative by enabling real-time optimization of cooling operations, ensuring smarter energy use, predictive maintenance, and scalable, reliable, and sustainable infrastructure. Infosys Cobalt will provide a secure, scalable foundation for the deployment of these solutions across cloud and data center environments, ensuring seamless integration and operational excellence for enterprise clients."
31,"What stake in Versent Group is Infosys acquiring through its joint venture with Telstra in Australia, and what regulatory approvals are required?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,Infosys is acquiring a 75% shareholding in Versent Group through its joint venture with Telstra in Australia. The regulatory approvals required for the acquisition include approval from the Foreign Investment Review Board of Australia and the Australian Competition and Consumer Commission.
32,What consideration is Infosys paying for the 75% stake in Telstra Purple as part of the Australia joint venture announced at the July 2025 board meeting?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,"AUD 233.25 million for 75% stake, including upfront and deferred consideration, including earnouts; excluding management incentives and retention bonus."
33,"According to Infosys research, what share of enterprises anticipate heightened risk from agentic AI, and how many companies currently have robust responsible AI safeguards in place?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"86% of enterprises anticipate heightened risks from agentic AI, yet only 2% of companies have robust responsible AI safeguards in place."
34,What financial losses and reputational damage from AI-related incidents does the Infosys research report document?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"77% of organizations reported financial loss, and 53% of organizations have suffered reputational impact from AI-related incidents."
35,"What legacy NHS payroll and workforce management system is Infosys's Future NHS Workforce Solution designed to replace, and how many employees will it serve?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md,The Future NHS Workforce Solution is designed to replace the current Electronic Staff Record (ESR) system and will serve 1.9 million NHS employees in England and Wales.
36,How is Infosys using AI and data analytics through its global brand ambassador partnership with Carlos Alcaraz?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md,"Infosys is using AI and data analytics through its partnership with Carlos Alcaraz by developing AI-powered match analytics and a personalized performance application to aid match preparation and in-game strategy. This collaboration leverages Infosys Topaz, an AI-first offering powered by generative and agentic AI technologies. Additionally, the partnership includes joint initiatives with the Carlos Alcaraz Foundation to leverage technology for social impact."
37,What does the joint Infosys and MIT Technology Review report conclude about the role of leadership culture and psychological safety in enterprise AI adoption?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md,"The joint Infosys and MIT Technology Review report concludes that psychological safety is critical for the success of enterprise AI initiatives, with 83 percent of business leaders believing it directly impacts success. The report emphasizes that a culture of trust, transparency, and a ""safe to fail"" environment are essential for scaling AI initiatives. It highlights that fear of failure and unclear communication are significant barriers to AI adoption, and achieving psychological safety requires explicit messaging about AI's capabilities and limits. Leadership communication and behaviors are identified as crucial for fostering psychological safety, which in turn drives innovation and meaningful business outcomes."
38,"What capabilities does Infosys's AI-first GCC Model offer, and how does it position the company in the growing Global Capability Center market?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md,"Infosys's AI-first GCC Model offers capabilities such as end-to-end setup and transformation of Global Capability Centers (GCCs), AI-powered innovation, future-ready talent development, and right-fit operating models. It positions the company in the growing Global Capability Center market by leveraging its expertise in AI and technology partnerships to support enterprises in transforming their GCCs into strategic innovation hubs, thereby enhancing agility and competitive advantage."
39,How is Infosys deploying generative AI and which Infosys platforms are being used in its IT and HR transformation engagement with AGCO?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,"Infosys is deploying generative AI in AGCO's operations transformation to simplify AGCO's operations and realize cost efficiencies. This includes using generative AI for knowledge management, problem analysis, categorization, and incident resolution. The platforms being used in this engagement are Infosys Cobalt, which includes Infosys Polycloud for IT infrastructure operations, and Infosys Topaz, an AI-first set of services, solutions, and platforms utilizing generative AI technologies."
40,What capabilities led GlobalFoundries to select Infosys for its expanded AI-driven IT operations transformation engagement?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,GlobalFoundries selected Infosys for its expanded AI-driven IT operations transformation engagement due to Infosys' proven track record as an incumbent technology provider and its deep semiconductor domain expertise.
41,"How does Infosys describe what sets the current AI transition apart from previous technology shifts, and why does this make enterprise modernization more urgent?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md,"The current AI transition is set apart from previous technology shifts by its unprecedented speed and the fundamental changes it necessitates in business operations. Unlike earlier transitions, which primarily altered how applications were accessed or deployed, AI requires comprehensive changes to business processes, customer journeys, talent, operating models, and technology architecture. This urgency for enterprise modernization is driven by the need to address accumulated legacy technology debt, as many large enterprises are still reliant on outdated systems. Additionally, the rapid pace of AI adoption, with AI reaching 1 billion users in just a couple of years compared to over a decade for the internet, emphasizes the necessity for enterprises to modernize quickly to leverage AI effectively and mitigate security risks associated with legacy systems."
42,"What proportion of Infosys's top 200 clients were receiving AI services as reported at Investor AI Day 2026, and what are the six areas of the company's AI value framework?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md,"90% of Infosys's top 200 clients were receiving AI services. The six areas of the company's AI value framework are:

1. AI strategy and engineering
2. Data for AI
3. Process
4. Legacy modernization
5. Physical AI
6. AI trust"
43,"How is Infosys splitting AI productivity gains between itself and its clients, and what does that sharing arrangement imply for future margin trajectory?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md,"Infosys is sharing productivity gains from AI and automation with clients, typically passing on some benefits, which implies an improvement in revenue quality and pricing. However, the specific amounts shared with clients are not disclosed. The sharing arrangement suggests that while Infosys is benefiting from productivity improvements, it is also focused on creating greater client impact, which may influence future margin trajectories positively."
44,"What factors have driven Infosys's stronger growth in Europe, and how sustainable does management consider that momentum to be?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,"Europe has performed extremely well for Infosys due to investments in several European countries, where companies have increasingly considered transformation and cost-efficiency services over the past two years. The strong performance is supported by a robust large-deal pipeline focused on cost optimization, consolidation, automation, and AI for efficiency and growth initiatives. Management considers this momentum sustainable as they intend to continue growing and investing in Europe and other global markets, including through acquisitions."
45,"What is Infosys management's view on enterprise technology spending trends in calendar year 2026, and how is AI adoption evolving across its client base?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_002.md,"Infosys management has a positive outlook on technology spending trends for calendar year 2026, particularly in Financial Services and Energy, Resources, Utilities, and Services, where they are seeing strong demand and progress in AI work. They note good traction in discretionary spending within Financial Services and expect similar trends to emerge in other industries. AI adoption is evolving positively across their large Financial Services clients, with ongoing partnerships to enhance this adoption."
46,What was the total value of large deals Infosys won during fiscal year 2024–25 as reported at the 44th Annual General Meeting?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_02072025225219_SEfiling_AGMtranscript_2025/group_003.md,Large deals totaled US$11.6 billion during fiscal year 2024–25.
47,What specific healthcare technology capabilities is Infosys gaining through the Board-approved acquisition of Optimum Healthcare IT?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_001.md,"Infosys is gaining healthcare technology capabilities through the acquisition of Optimum Healthcare IT, which includes health record advisory, implementation, and support, enterprise application services, digital transformation, workforce management, and access to more than 1,600 healthcare experts. The acquisition will also provide healthcare providers with access to Infosys Topaz AI offerings, Infosys Cobalt cloud offerings, cloud engineering, infrastructure services, cybersecurity, and application transformation."
48,"What are the six categories of new AI-driven services opportunity that Infosys outlined at its Investor AI Day, and how large is that addressable market?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,"The six categories of new AI-driven services opportunity outlined by Infosys are:

1. AI Strategy and Engineering
2. Data for AI
3. Process AI
4. Agentic Legacy Modernization
5. Physical AI
6. AI Trust

The addressable market for the AI-first services opportunity is stated as **$300–$400 billion by 2030**."
49,What were the key financial and operational highlights Infosys management presented at the 45th Annual General Meeting for fiscal year 2026?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_003.md,"Infosys reported revenue of more than US$20 billion, constant-currency growth of 3.1%, and an operating margin of 21% for fiscal year 2026. The company had strong free cash flow, over 325,000 employees, recruited 20,000 college graduates, and had 41 clients with revenue exceeding US$100 million. Infosys returned more than ₹55,000 crore to shareholders over the previous two years and maintained a debt-free, highly liquid balance sheet. The company launched its AI approach, developed Topaz and Topaz Fabric, and identified six areas for AI application. Infosys completed several acquisitions in healthcare and insurance and described various CSR initiatives impacting approximately 7 million people in India. The ""One Infosys"" operating model was emphasized to enhance collaboration and service delivery."
50,"How is AI-related revenue growth offsetting compression in Infosys's traditional IT services, and which AI deal types are most prominent in the pipeline?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md,"Infosys identified three growth areas: AI services, large deals (including net-new revenue), and expansion into clients where it has a smaller presence. AI-related revenue growth is offsetting compression in traditional IT services as clients seek AI-driven productivity improvements. The Topaz Fabric plays a role in providing visibility into achievable capabilities. Prominent deal types in the pipeline include technology and operations deals that apply AI capabilities, with productivity improvements often accompanied by adjacent scope expansion or consolidation."
