id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
11,What is the scale and nature of the large National Health Service deal Infosys won in Q3 FY26?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-press-conference/group_001.md,"In Q3 FY26, Infosys secured a significant $1.6 billion contract with the National Health Service (NHS) in the U.K. This deal aims to enhance Infosys's healthcare initiatives by utilizing AI to streamline operations and improve patient care for U.K. citizens. The contract is part of a larger total of $4.8 billion in large deals that Infosys won during the quarter, with 57% being net new contracts.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_014.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-press-conference/group_001.md,1.064,0.008,1.484,3.074,5.631,Success,
12,What are the full-year FY27 revenue growth and operating margin guidance ranges that Infosys management communicated at the Q4 FY26 earnings call?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_001.md,"At the Q4 FY26 earnings call, Infosys management communicated the following full-year FY27 guidance ranges:

- Revenue growth: 1.5% to 3.5% year-on-year in constant currency
- Operating margin: 20% to 22%",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_001.md,0.513,0.006,1.541,5.557,7.617,Success,
13,Why is Infosys passing AI-driven productivity gains through to clients rather than converting them into margin expansion?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md,"Infosys is passing AI-driven productivity gains through to clients rather than converting them into margin expansion because the company believes in sharing the benefits of productivity improvements with clients. This approach not only enhances client relationships but also leads to greater client impact and improved revenue quality. The productivity benefits from AI and automation are typically shared between Infosys and its clients, with management noting that this strategy aligns with their focus on delivering value to clients while also improving overall revenue productivity and pricing.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_002.md,1.655,0.012,1.322,2.104,5.093,Success,
14,"How are Infosys's financial-services clients deploying AI agents across workflows such as KYC, AML, credit underwriting, and legacy modernization?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_003.md,"Infosys's financial-services clients are deploying AI agents across various workflows, including KYC (Know Your Customer), AML (Anti-Money Laundering), credit underwriting, and legacy modernization, through a comprehensive AI framework. This includes:

1. **AI Strategy and Engineering**: Developing AI agents and orchestrating them across platforms to enhance business processes.
2. **Process AI**: Reimagining core business processes with AI agents to improve efficiency and effectiveness.
3. **Agentic Legacy Modernization**: Modernizing outdated systems using AI to streamline operations and improve agility.

For instance, Infosys has helped clients like Citizens Bank and major card providers modernize their legacy systems, resulting in significant efficiency gains and reduced operational costs. They also support AI use cases in fraud prevention, customer experience, and data insights, leveraging their AI capabilities to transform financial services operations.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md,2.127,0.011,1.451,3.824,7.413,Success,
15,What third-party rankings and industry recognitions has Infosys received for its AI and cloud service capabilities as listed in the Q2 FY26 press release?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_002.md,"Infosys has received the following third-party rankings and industry recognitions for its AI and cloud service capabilities:

1. **2025 Gartner Magic Quadrant for Public Cloud IT Transformation Services** - Positioned as a Leader for the third consecutive year, highlighting its excellence in cloud and AI innovation with Infosys Cobalt.

2. **The Forrester Wave™: AI Technical Services, Q4 2025** - Recognized as a Leader, ranked among the top two in the strategy category, showcasing capabilities in frontier AI models, AI workload optimization, and end-to-end AI lifecycle management.

3. **Brand Finance Global 500 2026** - Recognized as one of the top 3 most valuable IT services brands globally, with a brand value of US$ 16.4 billion and a Brand Strength Index score of 86.8 out of 100.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20012026132058_PR_20012026.md,0.374,0.006,2.165,4.724,7.271,Success,
16,How did Infosys's full-year FY26 revenues and constant-currency growth rate compare with the guidance range set at the start of the year?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md,"Infosys's full-year FY26 revenues grew by 3.1% in constant-currency terms, which was within the revised guidance range of 1%–3% set at the start of the year.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_001.md,0.382,0.008,1.496,1.443,3.329,Success,
17,"What was the aggregate buyback size and price per share approved by the Infosys Board in September 2025, and how many shares were proposed for repurchase?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md,"The aggregate buyback size approved by the Infosys Board in September 2025 was ₹18,000 crore, with a price per share of ₹1,800. The proposal included the repurchase of up to 10,00,00,000 shares.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_008.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_001.md,0.494,0.014,1.346,2.734,4.589,Success,
18,What settlement amount has Infosys McCamish Systems agreed to pay to resolve the class action lawsuits arising from the cyber incident?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md,Infosys McCamish Systems has agreed to pay $17.5 million to resolve the class action lawsuits arising from the cyber incident.,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_073.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23072025153626_Outcome23072025/group_040.md,0.667,0.013,1.477,1.337,3.495,Success,
19,What new capabilities and venue naming rights are covered under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md,"Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies includes the following new capabilities and venue naming rights:

1. **Venue Naming Rights**: The Theater at Madison Square Garden has been renamed the **Infosys Theater at Madison Square Garden**.

2. **Enhanced Fan Engagement**: Infosys will continue to elevate fan engagement for the New York Knicks and New York Rangers, leveraging its digital innovation capabilities.

3. **Branded Locations**: The partnership features two premier branded locations within the Madison Square Garden complex: the **Infosys Theater at Madison Square Garden** and the **Infosys Suite Level** on the ninth floor of The Garden, with brand integration across 18 suites.

4. **Digital Visibility**: Infosys will have sustained visibility across MSG's digital platforms, in-arena signage, and GardenVision features during Knicks and Rangers home games.

5. **Fan-Facing Innovations**: Infosys will power fan-facing innovations for the Knicks and Rangers using **Infosys Topaz**, an AI-first offering aimed at enhancing the fan experience.

6. **Technology-Driven Experiences**: The partnership aims to create new, immersive ways for fans to connect with the brand and their favorite teams through technology-driven storytelling and engagement across multiple touchpoints.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02092025112840_PR_02092025_signed.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_28052026152425_PR_28052026.md,2.086,0.009,1.487,4.568,8.151,Success,
20,"How is Infosys deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens bank, and what banking capabilities does the hub target?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"Infosys is deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens Bank to accelerate the bank's AI platform and enhance next-generation banking capabilities. The Topaz Fabric, which integrates infrastructure, models, data, applications, and workflows, will support the development of scalable, agent-ready capabilities aimed at simplifying and speeding up the delivery of new financial products and digital services. The hub targets the integration of advanced AI into Citizens' banking operations, product development, and customer experience, ultimately transforming how the bank serves its customers with modern, secure, and personalized banking experiences.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026201240_SE_Integrated_Annual_Report_2025-26/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_007.md,0.237,0.006,1.506,4.034,5.783,Success,
21,What banking processes and AI use cases is the Infosys-Citizens Innovation Hub designed to enable for the bank's operations?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"The Infosys-Citizens Innovation Hub is designed to enable several banking processes and AI use cases, including:

1. **AI-Driven Transformation**: Accelerating AI integration across banking operations, product development, and customer experience.
2. **Modernizing Technology Delivery**: Enhancing the technology stack and delivery processes.
3. **End-to-End Customer Operations Redesign**: Improving customer interactions and operational efficiency.
4. **Risk and Analytics**: Implementing advanced analytics for better risk management.
5. **Client-Facing Enhancements**: Developing personalized banking experiences through AI.
6. **Business-Model Simplification**: Streamlining operations to improve efficiency and reduce costs.

Specific AI use cases include:
- Fraud prevention in payments and consumer banking.
- Enhancements in customer experience through contact centers and user interfaces.
- Data insights and productivity tools for banking professionals.
- Adoption of generative AI and agentic AI across the enterprise, including conversational AI for customer service.

Overall, the hub aims to foster innovation, resilience, and efficiency at scale within Citizens' banking operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_004.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md,5.008,0.021,1.554,3.430,10.013,Success,
22,What is the strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md,"The strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally is to facilitate the transition of enterprises from AI pilots to large-scale production deployments. This collaboration combines Intel's high-performance, energy-efficient compute platforms with Infosys Topaz Fabric, creating a unified ecosystem that optimizes performance, enhances security, and reduces costs. By co-innovating on AI workload design and deployment, the partnership aims to deliver measurable outcomes across various industries, enabling organizations to institutionalize AI effectively and securely within their operations. This approach is intended to unlock significant AI value, ensuring that enterprises can leverage AI technologies in a reliable and impactful manner.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07042026171157_PR_07042026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_006.md,5.009,0.010,1.400,2.386,8.805,Success,
23,"What operational improvements does Infosys's AI Agent bring to energy sector clients, and which Infosys and Microsoft technologies power it?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md,"Infosys's AI Agent enhances operations for energy sector clients by automating reports, boosting operational efficiency, and providing actionable insights for decision-making. It intelligently processes various reports, offers predictive insights, and anticipates operational challenges, leading to improved safety, reliability, and reduced non-productive time (NPT).

The AI Agent is powered by Infosys Topaz, Infosys Cobalt, and Microsoft's technologies, including Microsoft Copilot Studio, Azure OpenAI in Foundry Models, and ChatGPT4o.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_004.md,0.690,0.005,1.494,4.031,6.221,Success,
24,What business and performance benefits is Bank CTBC Indonesia gaining from Infosys Finacle's digital banking suite deployed on cloud?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md,"Bank CTBC Indonesia is gaining several business and performance benefits from the deployment of Infosys Finacle's digital banking suite on cloud, including:

1. **Scalability**: The cloud-hosted model allows the bank to scale effortlessly to meet growing business demands.
2. **Faster Innovation**: The bank can deliver innovations and new products faster, ensuring a shorter time-to-market.
3. **Operational Efficiency**: The modernization has led to transformative performance gains, including over a 300% reduction in bulk processing time, which enhances operational efficiency.
4. **Enhanced Customer Experience**: The Finacle Customer Data Hub provides a unified view of customer data, enabling hyper-personalization of services and seamless integration with third-party offerings.
5. **Reduced Total Cost of Ownership (TCO)**: The combined solution has significantly lowered the TCO for the bank.
6. **Robust Security**: The deployment maintains strong security measures while enabling flexibility and scalability.

Overall, these benefits position Bank CTBC Indonesia at the forefront of digital banking in Indonesia, aligning with its broader strategy of driving digital innovation and operational excellence.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20082025093726_PR_20082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25062026152354_PR_25062026.md,0.394,0.005,1.606,3.577,5.583,Success,
25,"How does Infosys Topaz integrate with Salesforce's agentic AI capabilities in the new Customer Experience Suite, and what customer processes does it automate?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md,"Infosys Topaz integrates with Salesforce's agentic AI capabilities within the new Customer Experience Suite to facilitate agentic transformation and enhance digital workforce scalability. This integration automates various customer processes, including service inquiries, sales tasks, and employee support. By leveraging real-time processing and context-aware experiences, the solutions streamline customer interactions, improve personalization, and optimize workflows, ultimately driving efficiencies across sales, services, and marketing channels.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_007.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_020.md,1.021,0.019,1.881,2.744,5.668,Success,
26,"What lending workflows has Infosys modernized for ABN AMRO using the nCino platform, and how many legacy records were migrated?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"Infosys has modernized ABN AMRO's loan origination and collateral management processes using the nCino platform. They migrated over 100,000 legacy records from multiple systems during this implementation.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_29052026201312_Infosys_Integrated_Annual_Report_2025-26/group_002.md,1.431,0.016,1.445,4.297,7.190,Success,
