id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
11,What is the scale and nature of the large National Health Service deal Infosys won in Q3 FY26?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-press-conference/group_001.md,"In Q3 FY26, Infosys won a significant £1.2 billion, 15-year contract with the NHS Business Services Authority (NHSBSA) to deliver the Future NHS Workforce Solution. This project involves developing a data-driven workforce management solution that will replace the current Electronic Staff Record (ESR) system and manage payroll for 1.9 million NHS employees in England and Wales, totaling over £55 billion annually. The solution aims to support the NHS's 10-year Health Plan by modernizing workforce management and enhancing operational efficiency through advanced technologies and AI-driven tools.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-press-conference/group_002.md,1.571,0.009,0.000,2.803,4.385,Success,
12,What are the full-year FY27 revenue growth and operating margin guidance ranges that Infosys management communicated at the Q4 FY26 earnings call?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_001.md,"Infosys management communicated the following guidance for FY27 at the Q4 FY26 earnings call:

- Revenue growth: 1.5% to 3.5% in constant currency
- Operating margin: 20% to 22%",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_019.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md,1.537,0.004,0.000,4.133,5.674,Success,
13,Why is Infosys passing AI-driven productivity gains through to clients rather than converting them into margin expansion?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md,"Infosys is passing AI-driven productivity gains to clients rather than converting them into margin expansion because the company believes in sharing the benefits of productivity improvements with clients. This approach enhances client relationships and creates greater impact, which is seen as beneficial for long-term revenue quality. Additionally, the productivity gains from AI and automation are significant, typically ranging from 5% to 15%, and are part of a broader strategy to improve client outcomes and satisfaction.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,0.635,0.008,0.000,3.409,4.053,Success,
14,"How are Infosys's financial-services clients deploying AI agents across workflows such as KYC, AML, credit underwriting, and legacy modernization?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_003.md,"Infosys's financial-services clients are deploying AI agents across workflows such as KYC (Know Your Customer), AML (Anti-Money Laundering), credit underwriting, and legacy modernization by leveraging its enterprise-level agentic AI platforms. These platforms enable AI agents to work alongside employees, enhancing operational efficiency and compliance processes.

For instance, Infosys has implemented AI to modernize legacy systems, improving customer experiences and operational capabilities. In specific use cases, AI has accelerated compliance processes, achieving significant productivity gains. The company has also tailored its AI offerings through frameworks like `client.ai`, which includes over 400 agents designed for various verticals, ensuring that AI solutions are contextualized for the specific needs of financial services.

Additionally, Infosys employs forward-deployed engineers to co-create solutions that utilize real-time data streams and AI, thereby enhancing processes like credit underwriting and KYC. The integration of AI into these workflows aims to improve efficiency, reduce operational costs, and enhance overall service delivery in the financial sector.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q32-earningscall/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_004.md,1.120,0.009,0.000,5.131,6.262,Success,
15,What third-party rankings and industry recognitions has Infosys received for its AI and cloud service capabilities as listed in the Q2 FY26 press release?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_002.md,"In the Q2 FY26 press release, Infosys received the following third-party rankings and industry recognitions for its AI and cloud service capabilities:

1. **Forrester Wave™: AI Technical Services, Q4 2025** - Infosys was recognized as a Leader, ranking among the top two in the strategy category for its capabilities in frontier AI models, AI workload optimization, edge and IoT integration, and end-to-end AI lifecycle management.

2. **Gartner Magic Quadrant for Public Cloud IT Transformation Services, 2025** - Infosys was positioned as a Leader for the third consecutive year, highlighting its excellence in driving cloud and AI innovation through Infosys Cobalt.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_001.md,0.506,0.007,0.000,5.264,5.779,Success,
16,How did Infosys's full-year FY26 revenues and constant-currency growth rate compare with the guidance range set at the start of the year?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md,"Infosys's full-year FY26 revenues were $20,158 million, with a constant-currency growth rate of 3.1%. This growth rate was within the guidance range set at the start of the year, which was 1.5%-3.5%.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_019.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md,0.944,0.008,0.000,1.848,2.801,Success,
17,"What was the aggregate buyback size and price per share approved by the Infosys Board in September 2025, and how many shares were proposed for repurchase?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md,"The Infosys Board approved an aggregate buyback size of ₹18,000 crore at a price of ₹1,800 per share, proposing to repurchase 10,00,00,000 shares.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_008.md,1.190,0.013,0.000,1.948,3.152,Success,
18,What settlement amount has Infosys McCamish Systems agreed to pay to resolve the class action lawsuits arising from the cyber incident?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md,Infosys McCamish Systems has agreed to pay $17.5 million to resolve the class action lawsuits arising from the cyber incident.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_05082025214028_SEfiling_Reg30disclosure_05082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23072025153626_Outcome23072025/group_040.md,0.943,0.006,0.000,2.043,2.993,Success,
19,What new capabilities and venue naming rights are covered under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md,"Under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies, the new capabilities include enhanced fan engagement for the New York Knicks and New York Rangers, powered by Infosys Topaz, an AI-first offering. The partnership also features the renaming of the Theater at Madison Square Garden to the Infosys Theater at Madison Square Garden, along with the establishment of the Infosys Suite Level on the ninth floor of The Garden. Additionally, there will be brand integration across 18 suites, sustained visibility across MSG's digital platforms, in-arena signage, and enhanced wayfinding and signage throughout the theater and along Eighth Avenue.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md | data/yfinance/clean-mds/Madison Square Garden Entertainment Corp. (MSGE) To Remain Fully Operational Amid New York Penn Station Redevelopment.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02092025112840_PR_02092025_signed.md,0.846,0.008,0.000,3.814,4.670,Success,
20,"How is Infosys deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens bank, and what banking capabilities does the hub target?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"Infosys is deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens Bank to accelerate the bank's AI platform and enhance next-generation banking capabilities. The Topaz Fabric integrates infrastructure, models, data, applications, and workflows into a cohesive ecosystem, enabling the development of scalable, agent-ready capabilities. This initiative targets improvements in banking operations, product development, and customer experience, aiming to deliver modern, secure, and personalized banking services. The collaboration emphasizes the integration of advanced AI into Citizens' operations to foster innovation and efficiency.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03112025145757_PR_03112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_025.md,0.463,0.009,0.000,4.231,4.704,Success,
21,What banking processes and AI use cases is the Infosys-Citizens Innovation Hub designed to enable for the bank's operations?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"The Infosys-Citizens Innovation Hub is designed to enable several banking processes and AI use cases, including:

1. **AI-Driven Transformation**: Accelerating AI integration across banking operations, product development, and customer experience.
2. **Scalable Agent-Ready Capabilities**: Developing capabilities that simplify and speed up the delivery of new financial products and digital services.
3. **Fraud Prevention**: Implementing AI for fraud prevention in payments and consumer banking.
4. **Enhanced Customer Experience**: Utilizing AI to improve customer interactions through contact centers and user interface/user experience (UI/UX) enhancements.
5. **Data Insights and Productivity Tools**: Providing data insights and productivity tools for commercial banking relationship managers and financial analysts.
6. **Agentic Commerce and Payments**: Exploring early-stage applications of AI in commerce and payments.

Overall, the hub aims to foster innovation, resilience, and efficiency at scale within Citizens' banking operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,0.920,0.008,0.000,3.960,4.890,Success,
22,What is the strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md,"The strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally is to facilitate the transition of enterprises from AI pilots to large-scale production deployments. This collaboration combines Intel's high-performance, energy-efficient compute platforms with Infosys Topaz Fabric, creating a unified ecosystem that optimizes performance, enhances security, and reduces costs. By co-innovating on AI workloads and focusing on ""right-sized"" architectures, the partnership aims to deliver measurable outcomes across various industries, enabling organizations to securely and reliably implement AI in complex environments. This initiative is designed to help clients institutionalize AI within their operations, ultimately transforming their AI journey and unlocking significant business value.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,0.934,0.010,0.000,2.190,3.136,Success,
23,"What operational improvements does Infosys's AI Agent bring to energy sector clients, and which Infosys and Microsoft technologies power it?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md,"Infosys's AI Agent enhances operations for energy sector clients by automating reports, boosting operational efficiency, and providing actionable insights for better decision-making. It intelligently processes various reports and offers predictive insights to anticipate operational challenges, leading to improved safety, reliability, and reduced non-productive time.

The AI Agent is powered by Infosys Topaz, Infosys Cobalt, and Microsoft's technologies, including Microsoft Copilot Studio, Azure OpenAI in Foundry Models, and ChatGPT4o.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md,2.104,0.005,0.000,2.496,4.605,Success,
24,What business and performance benefits is Bank CTBC Indonesia gaining from Infosys Finacle's digital banking suite deployed on cloud?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md,"Bank CTBC Indonesia is gaining several business and performance benefits from the deployment of Infosys Finacle's digital banking suite on cloud:

1. **Scalability**: The cloud-hosted model allows the bank to scale effortlessly to meet growing business demands.
2. **Faster Innovation**: The bank can deliver innovations and new products faster, ensuring a shorter time-to-market.
3. **Operational Efficiency**: The modernization has improved operational efficiency, particularly with a reported over 300% reduction in bulk processing time.
4. **Enhanced Customer Experience**: The Finacle Customer Data Hub provides a unified view of customer data, enabling hyper-personalization of services.
5. **Cost Reduction**: The deployment has led to a reduced total cost of ownership (TCO).
6. **Security and Flexibility**: The cloud-native solution offers secure and scalable flexibility, positioning the bank to deliver an industry-leading digital banking platform.

Overall, these benefits align with the bank's broader strategy of driving digital innovation and operational excellence.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026105841_PR_25032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20082025093726_PR_20082025.md,2.112,0.006,0.000,7.917,10.036,Success,
25,"How does Infosys Topaz integrate with Salesforce's agentic AI capabilities in the new Customer Experience Suite, and what customer processes does it automate?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md,"Infosys Topaz integrates with Salesforce's agentic AI capabilities within the new Customer Experience Suite by leveraging AI-first services to enhance customer interactions and automate various processes. Specifically, it automates service inquiries, sales tasks, and employee support, enabling enterprises to streamline these customer processes. The integration allows for personalized, context-aware experiences and supports real-time decision-making, ultimately enhancing efficiency across sales, services, and marketing channels.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03112025145757_PR_03112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_006.md,1.224,0.009,0.000,5.046,6.280,Success,
26,"What lending workflows has Infosys modernized for ABN AMRO using the nCino platform, and how many legacy records were migrated?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"Infosys has modernized ABN AMRO's loan origination and collateral management processes using the nCino platform. They migrated over 100,000 legacy records from multiple systems during this implementation.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02062026152845_PR_02062026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,0.573,0.007,0.000,1.531,2.112,Success,
