id,question,source_category,source_document,llm_answer,llm_context_filepaths_top_3,reference_answer,faithfulness,answer_relevancy,context_precision,context_recall,evaluation_status,evaluation_error
11,What is the scale and nature of the large National Health Service deal Infosys won in Q3 FY26?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-press-conference/group_001.md,"In Q3 FY26, Infosys won a significant £1.2 billion, 15-year contract with the NHS Business Services Authority (NHSBSA) to deliver the Future NHS Workforce Solution. This project involves developing a data-driven workforce management solution that will replace the current Electronic Staff Record (ESR) system and manage payroll for 1.9 million NHS employees in England and Wales, totaling over £55 billion annually. The solution aims to support the NHS's 10-year Health Plan by modernizing workforce management and enhancing operational efficiency through advanced technologies and AI-driven tools.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-press-conference/group_002.md,"Infosys won a $1.6 billion contract with the U.K. National Health Service in Q3 FY26. The deal expands Infosys' healthcare work, including the use of AI to streamline operations and improve patient care for U.K. citizens.",0.9167,0.7157,1.0000,1.0000,Success,
12,What are the full-year FY27 revenue growth and operating margin guidance ranges that Infosys management communicated at the Q4 FY26 earnings call?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_001.md,"Infosys management communicated the following guidance for FY27 at the Q4 FY26 earnings call:

- Revenue growth: 1.5% to 3.5% in constant currency
- Operating margin: 20% to 22%",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_019.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md,"- Revenue growth: 1.5%-3.5% year-on-year in constant-currency terms.
- Operating margin: 20%-22%.",1.0000,0.8015,1.0000,1.0000,Success,
13,Why is Infosys passing AI-driven productivity gains through to clients rather than converting them into margin expansion?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md,"Infosys is passing AI-driven productivity gains to clients rather than converting them into margin expansion because the company believes in sharing the benefits of productivity improvements with clients. This approach enhances client relationships and creates greater impact, which is seen as beneficial for long-term revenue quality. Additionally, the productivity gains from AI and automation are significant, typically ranging from 5% to 15%, and are part of a broader strategy to improve client outcomes and satisfaction.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,Productivity benefits are largely passed back to clients because the market is competitive and competitive intensity has increased.,0.4000,0.9946,1.0000,1.0000,Success,
14,"How are Infosys's financial-services clients deploying AI agents across workflows such as KYC, AML, credit underwriting, and legacy modernization?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_003.md,"Infosys's financial-services clients are deploying AI agents across workflows such as KYC (Know Your Customer), AML (Anti-Money Laundering), credit underwriting, and legacy modernization by leveraging its enterprise-level agentic AI platforms. These platforms enable AI agents to work alongside employees, enhancing operational efficiency and compliance processes.

For instance, Infosys has implemented AI to modernize legacy systems, improving customer experiences and operational capabilities. In specific use cases, AI has accelerated compliance processes, achieving significant productivity gains. The company has also tailored its AI offerings through frameworks like `client.ai`, which includes over 400 agents designed for various verticals, ensuring that AI solutions are contextualized for the specific needs of financial services.

Additionally, Infosys employs forward-deployed engineers to co-create solutions that utilize real-time data streams and AI, thereby enhancing processes like credit underwriting and KYC. The integration of AI into these workflows aims to improve efficiency, reduce operational costs, and enhance overall service delivery in the financial sector.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q32-earningscall/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_004.md,"Financial-services clients are adopting AI agents for various workflows, including KYC and AML processes, which are generating additional revenue for Infosys. They are also using AI in credit-related work and for developing new capabilities, as well as employing foundation models for legacy modernization. Despite some productivity-related compression due to AI, Infosys is experiencing accelerating growth in financial services. AI-related compression is occurring in services where foundation models and related tools are highly efficient, including some technology-services and BPM work, but this is being offset by growth in other services.",0.8421,0.8374,1.0000,0.5000,Success,
15,What third-party rankings and industry recognitions has Infosys received for its AI and cloud service capabilities as listed in the Q2 FY26 press release?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_002.md,"In the Q2 FY26 press release, Infosys received the following third-party rankings and industry recognitions for its AI and cloud service capabilities:

1. **Forrester Wave™: AI Technical Services, Q4 2025** - Infosys was recognized as a Leader, ranking among the top two in the strategy category for its capabilities in frontier AI models, AI workload optimization, edge and IoT integration, and end-to-end AI lifecycle management.

2. **Gartner Magic Quadrant for Public Cloud IT Transformation Services, 2025** - Infosys was positioned as a Leader for the third consecutive year, highlighting its excellence in driving cloud and AI innovation through Infosys Cobalt.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-ifrs-inr-press-release/group_001.md,"- Infosys was positioned as a leader in Gartner's Magic Quadrant and Critical Capabilities for Public Cloud IT Transformation Services.
- Infosys was positioned as a leader in Gartner's Emerging Market Quadrant for Generative AI Consulting and Implementation Services.
- Infosys was recognized as a leader in IDC MarketScape: Asia Pacific Oracle Implementation Services 2025 Vendor Assessment.
- Infosys was recognized as a leader in IDC MarketScape: Worldwide Artificial Intelligence Services 2025.
- Infosys was recognized as a leader in IDC MarketScape: Worldwide Life Science R&D AI and GenAI in Clinical Trials 2025.
- Infosys was recognized as a leader in Constellation ShortList: Artificial Intelligence and Machine Learning Best-of-Breed Platforms.
- Infosys was recognized as a leader in Constellation ShortList: AI-Driven Cognitive Applications.
- Infosys EdgeVerve was recognized as the Company of the Year with Silver Stevie® Awards in two categories: Artificial Technology for the Infosys EdgeVerve AI Next platform and Business Technology for enterprise transformation.",0.8889,0.9925,0.5833,0.1250,Success,
16,How did Infosys's full-year FY26 revenues and constant-currency growth rate compare with the guidance range set at the start of the year?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md,"Infosys's full-year FY26 revenues were $20,158 million, with a constant-currency growth rate of 3.1%. This growth rate was within the guidance range set at the start of the year, which was 1.5%-3.5%.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_019.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md,"Infosys delivered FY26 revenues of $20,158 million, representing 3.1% growth in constant currency. The guidance for FY27 was a revenue growth of 1.5%-3.5% in constant currency, indicating that FY26's growth rate of 3.1% was within the guidance range set at the start of the year.",1.0000,0.8490,1.0000,1.0000,Success,
17,"What was the aggregate buyback size and price per share approved by the Infosys Board in September 2025, and how many shares were proposed for repurchase?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md,"The Infosys Board approved an aggregate buyback size of ₹18,000 crore at a price of ₹1,800 per share, proposing to repurchase 10,00,00,000 shares.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_11092025215149_Outcome11092025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_008.md,"The aggregate buyback size approved by the Infosys Board in September 2025 was ₹18,000 crore at a price of ₹1,800 per equity share, with a proposal to repurchase up to 10,00,00,000 shares.",1.0000,0.9091,1.0000,1.0000,Success,
18,What settlement amount has Infosys McCamish Systems agreed to pay to resolve the class action lawsuits arising from the cyber incident?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md,Infosys McCamish Systems has agreed to pay $17.5 million to resolve the class action lawsuits arising from the cyber incident.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/INFY_20122025091628_SE_McCamish_Systems_20122025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_05082025214028_SEfiling_Reg30disclosure_05082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23072025153626_Outcome23072025/group_040.md,McCamish has agreed to pay $17.5 million into a fund to settle the class action lawsuits.,1.0000,0.9321,0.8333,1.0000,Success,
19,What new capabilities and venue naming rights are covered under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md,"Under Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies, the new capabilities include enhanced fan engagement for the New York Knicks and New York Rangers, powered by Infosys Topaz, an AI-first offering. The partnership also features the renaming of the Theater at Madison Square Garden to the Infosys Theater at Madison Square Garden, along with the establishment of the Infosys Suite Level on the ninth floor of The Garden. Additionally, there will be brand integration across 18 suites, sustained visibility across MSG's digital platforms, in-arena signage, and enhanced wayfinding and signage throughout the theater and along Eighth Avenue.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02022026183006_PR_02022026.md | data/yfinance/clean-mds/Madison Square Garden Entertainment Corp. (MSGE) To Remain Fully Operational Amid New York Penn Station Redevelopment.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02092025112840_PR_02092025_signed.md,"Infosys's renewed and expanded multi-year digital innovation partnership with the Madison Square Garden family of companies includes the renaming of the Theater at Madison Square Garden to the Infosys Theater at Madison Square Garden. It also features two premier branded locations: the Infosys Theater and the Infosys Suite Level on the ninth floor of The Garden, with brand integration across 18 suites. Additionally, Infosys will enhance fan engagement for the New York Knicks and New York Rangers, leveraging Infosys Topaz for fan-facing innovations.",1.0000,0.8949,1.0000,0.6667,Success,
20,"How is Infosys deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens bank, and what banking capabilities does the hub target?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"Infosys is deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens Bank to accelerate the bank's AI platform and enhance next-generation banking capabilities. The Topaz Fabric integrates infrastructure, models, data, applications, and workflows into a cohesive ecosystem, enabling the development of scalable, agent-ready capabilities. This initiative targets improvements in banking operations, product development, and customer experience, aiming to deliver modern, secure, and personalized banking services. The collaboration emphasizes the integration of advanced AI into Citizens' operations to foster innovation and efficiency.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03112025145757_PR_03112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_025.md,"Infosys is deploying its Topaz Fabric in the AI-first Innovation Hub it is co-building with Citizens Bank to accelerate Citizens' AI platform and next-generation banking capabilities. The hub targets AI-driven transformation across Citizens' banking operations, product development, and customer experience, aiming to simplify and increase the speed of delivery of new financial products and digital services.",0.7692,0.8621,1.0000,1.0000,Success,
21,What banking processes and AI use cases is the Infosys-Citizens Innovation Hub designed to enable for the bank's operations?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md,"The Infosys-Citizens Innovation Hub is designed to enable several banking processes and AI use cases, including:

1. **AI-Driven Transformation**: Accelerating AI integration across banking operations, product development, and customer experience.
2. **Scalable Agent-Ready Capabilities**: Developing capabilities that simplify and speed up the delivery of new financial products and digital services.
3. **Fraud Prevention**: Implementing AI for fraud prevention in payments and consumer banking.
4. **Enhanced Customer Experience**: Utilizing AI to improve customer interactions through contact centers and user interface/user experience (UI/UX) enhancements.
5. **Data Insights and Productivity Tools**: Providing data insights and productivity tools for commercial banking relationship managers and financial analysts.
6. **Agentic Commerce and Payments**: Exploring early-stage applications of AI in commerce and payments.

Overall, the hub aims to foster innovation, resilience, and efficiency at scale within Citizens' banking operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03022026180152_PR_03022026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,"The Infosys-Citizens Innovation Hub is designed to accelerate AI-driven transformation across Citizens' banking operations, product development, and customer experience. It aims to support the development of scalable, agent-ready capabilities to simplify and increase the speed of delivery of new financial products and digital services, integrating artificial intelligence and advanced technologies throughout the bank's technology ecosystem.",0.5000,0.7536,1.0000,1.0000,Success,
22,What is the strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md,"The strategic rationale behind Infosys and Intel deepening their partnership to deliver enterprise AI solutions globally is to facilitate the transition of enterprises from AI pilots to large-scale production deployments. This collaboration combines Intel's high-performance, energy-efficient compute platforms with Infosys Topaz Fabric, creating a unified ecosystem that optimizes performance, enhances security, and reduces costs. By co-innovating on AI workloads and focusing on ""right-sized"" architectures, the partnership aims to deliver measurable outcomes across various industries, enabling organizations to securely and reliably implement AI in complex environments. This initiative is designed to help clients institutionalize AI within their operations, ultimately transforming their AI journey and unlocking significant business value.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,"The strategic rationale behind Infosys and Intel deepening their partnership is to help enterprises scale AI deployments from pilots to production at scale. The collaboration combines Intel's high-performance, energy-efficient compute platforms with Infosys Topaz Fabric, aiming to advance open standards and accelerate secure, cost-efficient enterprise AI deployments. This partnership focuses on optimizing performance, delivering measurable outcomes, and supporting mission-critical use cases across industries, enabling organizations to institutionalize AI securely and reliably.",1.0000,0.9598,1.0000,1.0000,Success,
